date,ticker,price
2024-01-01,AAPL,149.79306798130466
2024-01-02,AAPL,148.10774399144677
2024-01-03,AAPL,148.98197182666834
2024-01-04,AAPL,148.7780276517386
2024-01-05,AAPL,149.94335796849677
2024-01-06,AAPL,150.72997171922378
2024-01-07,AAPL,151.89873222824897
2024-01-08,AAPL,152.03282687069583
2024-01-09,AAPL,152.1261423528929
2024-01-10,AAPL,150.77401899364457
2024-01-11,AAPL,151.37076860484217
2024-01-12,AAPL,152.3178123776716
2024-01-13,AAPL,151.09301257505277
2024-01-14,AAPL,149.23446468394712
2024-01-15,AAPL,148.67408215837546
2024-01-16,AAPL,149.9433278561659
2024-01-17,AAPL,151.08901678193803
2024-01-18,AAPL,150.85010107560822
2024-01-19,AAPL,149.65207131131226
2024-01-20,AAPL,148.3679187506748
