date,market_return,volatility,interest_rate,liquidity,asset_return
2024-01-01,0.003970562786573485,0.007783610761666377,-0.005406464585998474,-0.0033758913748719076,0.005725130962107807
2024-01-02,0.010002347539307095,-0.005511857163285334,0.0013557506390618154,-0.0007225933535775892,0.018335391615300154
2024-01-03,-0.023924827710857466,-0.008181988834223072,-0.0013081513662548476,-0.0039620996049998065,-0.041252135238517056
2024-01-04,0.0044886788381708655,-3.374457410952052e-05,-0.003661265793712914,-0.0015398076481952013,0.004212043403424692
2024-01-05,0.014732027909679507,-0.0017018462252492844,0.0010224051990499615,-0.009468073334768928,-0.002532074726870486
2024-01-08,-0.014515692224294465,-0.004532280493272752,0.0027473170903259156,0.0010664685368646928,-0.009544502221828833
2024-01-09,0.02007086864205244,0.006963874474567153,-0.0002748970292553837,6.027376811121184e-06,0.029190769320792117
2024-01-10,0.005028228112392542,0.009553052085705107,0.0019057490944058776,-0.004085443155340953,0.0037933621472564087
2024-01-11,-0.008460142269100907,0.0008840688629184736,0.003224556515977291,0.0032962283421620253,-0.025681079580890723
2024-01-12,-0.0006692289318924722,0.014775300810552618,0.002629828907168095,0.004687850688132792,0.00566924203404292
2024-01-15,0.006699922950260669,-0.011416891141335051,0.003279929058742786,-0.00803779932184487,0.0035164788814586855
2024-01-16,0.000912064696948938,-0.0019365945927971812,0.0014842549821437844,-0.003813623892831071,0.0012538310050203717
2024-01-17,0.006465071909356431,-0.007168223206028049,0.0001508672778031856,-0.0038457117489364913,0.010881915968665765
2024-01-18,-0.011048083116952396,-0.0186653661707306,-0.003203931623794337,-0.004699515505544323,-0.022448678358923592
2024-01-19,0.002032329888432936,-0.0008268068584269925,-0.0004921249762598972,0.004147374209658742,0.005573895834353854
2024-01-22,-0.016964573962859764,-0.0012174750838328354,-0.0016864931906323834,-0.0009691306938640177,-0.0006790842388500976
2024-01-23,-0.0013347127361844039,0.01513449743242131,0.004341885434995627,-0.001322574206553054,-0.004885463382216543
2024-01-24,-0.010846891697577478,0.006308116845547776,-0.00035177162486467326,-0.010019311822033767,-0.005252641109040747
